Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_philips_enh/Ref/1301_WIP_ADNI_Sag3D_MPRAGE_cl.json,256,13,13:00:13.040000,,,"['anat', '_acq-MPGRT1TFE_run-1301_T1w']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.00293,256,,9,,"[-0.03861, 0.999252, -0.00235419, 0.0608605, 0, -0.998146]",,"['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE', 'MAGNITUDE']",127.748504,ROW,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,256,,,271,d2n_Philips_3T_R571,WIP ADNI_Sag3D MPRAGE,,,,256,,0.006501,0.0383126,OTHER,GR,,MP,ADNI_Sag3D MPRAGE,1301,,1,,5.7.1\5.7.1.1,1,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/1301_WIP_ADNI_Sag3D_MPRAGE_enh.json,256,13,13:00:4.570000,,,"['anat', '_acq-MPGRT1TFE_run-1301_T1w']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.00293,256,,9,,"[-0.03861, 0.999252, -0.00235419, 0.0608605, 0, -0.998146]",,"['ORIGINAL', 'PRIMARY', 'T1', 'NONE', 'MAGNITUDE']",127.748504,ROW,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,256,,,271.267,d2n_Philips_3T_R571,WIP ADNI_Sag3D MPRAGE,,,,256,,0.006501,,OTHER,GR,,MP,ADNI_Sag3D MPRAGE,1301,,1,,5.7.1\5.7.1.1,1,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/1901_WIP_3DpCASL_cl.json,70,19,13:30:52.040000,,,"['perf', '_acq-SKGRGraSEp20_run-1901_asl']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.009,7,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'FFE', 'PERFUSION', 'FFE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,70,,,1948,d2n_Philips_3T_R571,WIP 3DpCASL,,,,96,,4.25,0.322351,FS,GR,,SK,3DpCASL,1901,,4,,5.7.1\5.7.1.1,4,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/1901_WIP_3DpCASL_enh_real.json,70,19,13:29:54.440000,,,"['perf', '_acq-SKGRGraSEp20_run-1901_asl']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.009,112,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,70,,,1947.94,d2n_Philips_3T_R571,WIP 3DpCASL,,,,96,,4.25,,FS,GR,,SK,3DpCASL,1901,,4,,5.7.1\5.7.1.1,4,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/1903_WIP_SOURCE_-_3DpCASL_cl.json,70,19,13:30:52.040000,,,"['anat', '_acq-SKSEGraSEp20_run-1903_PDw']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.009,7,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'SE', 'M', 'SE', 'MAGNITUDE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,70,,,1948,d2n_Philips_3T_R571,WIP SOURCE - 3DpCASL,,,,96,,51,0.322351,FS,SE,,SK,WIP SOURCE - 3DpCASL,1903,,4,,5.7.1\5.7.1.1,4,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/1903_WIP_SOURCE_-_3DpCASL_enh.json,70,19,13:29:54.440000,,,"['perf', '_acq-SKSEGraSEp20_run-1903_asl']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.009,112,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'MAGNITUDE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,70,,,1947.94,d2n_Philips_3T_R571,WIP SOURCE - 3DpCASL,,,,96,,51,,FS,SE,,SK,WIP SOURCE - 3DpCASL,1903,,4,,5.7.1\5.7.1.1,4,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_cl_e1.json,80,20,13:37:33.160000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_magnitude1']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0023,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE', 'MAGNITUDE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,0.0155967,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_cl_e1_ph.json,80,20,13:37:33.160000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_phase1']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0023,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'PHASE MAP', 'P', 'FFE', 'PHASE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,0.0155967,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_cl_e2.json,80,20,13:37:33.160000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_magnitude2']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0046,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE', 'MAGNITUDE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,0.0155967,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_cl_e2_ph.json,80,20,13:37:33.160000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_phase2']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0046,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'PHASE MAP', 'P', 'FFE', 'PHASE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,0.0155967,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_enh_e1.json,80,20,13:37:18.630000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_magnitude1']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0023,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008.06,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,MR61,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_enh_e1_ph.json,80,20,13:37:18.630000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_phase1']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0023,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED', 'PHASE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008.06,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,MR61,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_enh_e2.json,80,20,13:37:18.630000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_magnitude2']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0046,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008.06,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,MR61,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2001_WIP_fcMRI_Field_Mapping_enh_e2_ph.json,80,20,13:37:18.630000,,,"['fmap', '_acq-SPGRT1FFE_run-2001_phase2']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.0046,2,,10,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED', 'PHASE']",127.748512,COL,,,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,78.5398,,80,,,1008.06,d2n_Philips_3T_R571,WIP fcMRI Field Mapping,,,,80,,0.02,,FC,GR,,SP,fcMRI Field Mapping,2001,,3,,5.7.1\5.7.1.1,3,MR61,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2101_WIP_fcMRI_cl.json,85,21,13:39:53.900000,,,"['func', '_acq-SKGRFEEPIp15_run-2101_bold']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.03,57,,50,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,1.5,,HFS,100,98.8636,,85,,,2317,d2n_Philips_3T_R571,WIP fcMRI,,,,96,,1.25923,0.0815898,FS,GR,,SK,fcMRI,2101,,2.5,,5.7.1\5.7.1.1,2.5,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2101_WIP_fcMRI_enh.json,85,21,13:39:43.650000,,,"['func', '_acq-SKGRFEEPIp15_run-2101_bold']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.03,57,,50,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'T2', 'NONE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,1.5,,HFS,100,98.8636,,85,,,2317.23,d2n_Philips_3T_R571,WIP fcMRI,,,,96,,1.25923,,FS,GR,,SK,fcMRI,2101,,2.5,,5.7.1\5.7.1.1,2.5,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2201_WIP_DTI_S2MB2_cl.json,126,22,13:41:42.250000,,,"['dwi', '_acq-SKSEDwiSEp20_run-2201_dwi']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.072436,63,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'SE', 'M', 'SE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,,,,2494,d2n_Philips_3T_R571,WIP DTI_S2MB2,,,,128,,4.97239,0.158574,PFP,SE,,SK,DTI_S2MB2,2201,,2,,5.7.1\5.7.1.1,2,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2201_WIP_DTI_S2MB2_enh.json,126,22,13:41:33.860000,,,"['dwi', '_acq-SKSEDwiSEp20_run-2201_dwi']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.072436,63,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,,,,2494.07,d2n_Philips_3T_R571,WIP DTI_S2MB2,,,,128,,4.97239,,PFP,SE,,SK,DTI_S2MB2,2201,,2,,5.7.1\5.7.1.1,2,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2301_WIP_DTIphase_S2MB2_cl.json,126,23,13:43:34.420000,,,"['dwi', '_acq-SKSEDwiSEp20_run-2301_dwi']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.086,63,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'M', 'SE', 'M', 'SE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,,,,2489,d2n_Philips_3T_R571,WIP DTIphase_S2MB2,,,,128,,4.54918,0.173326,PFP,SE,,SK,DTIphase_S2MB2,2301,,2,,5.7.1\5.7.1.1,2,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
dcm_qa_philips_enh/Ref/2301_WIP_DTIphase_S2MB2_enh.json,126,23,13:43:26.490000,,,"['dwi', '_acq-SKSEDwiSEp20_run-2301_dwi']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,45053,,0.086,63,,90,,"[0.997399, 0.0386818, 0.060815, -0.03861, 0.999252, -0.00235419]",,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MAGNITUDE']",127.748512,COL,,,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2,,HFS,100,100,,,,,2489.11,d2n_Philips_3T_R571,WIP DTIphase_S2MB2,,,,128,,4.54918,,PFP,SE,,SK,DTIphase_S2MB2,2301,,2,,5.7.1\5.7.1.1,2,,d2n_Philips_3T_R571,"[0, 0, 0.7]",,,,,
